280.59,272.15,277.01,285.43,
279.24,289.13,287.42,287.75,
281.96,273.32,278.52,283.97,
292.84,297.12,306.35,304.8,
306.41,309.37,300.7,294.27,
295.88,299.88,291.71,283.02,
279.75,278.65,273.68,279.92,
270.67,267.73,262.55,257.39,
257.07,261.95,271.76,262.7,
262.88,270.7,261.53,254.0,
255.29,251.71,245.03,242.82,
236.24,228.23,227.05,225.99,
221.14,221.06,219.38,217.56,
212.29,203.58,201.69,194.33,
194.49,194.26,194.52,204.22,
201.29,197.11,204.43,208.17,
214.84,223.8,216.86,225.44,
220.99,222.62,226.74,232.01,
230.07,238.5,235.99,232.33,
223.45,229.09,225.76,226.59,
218.42,214.49,217.93,217.67,
224.21,231.93,230.67,224.77,
232.8,239.46,240.76,246.15,
246.27,239.75,236.1,226.14,
222.74,224.04,218.68,224.14,
215.56,221.86,230.6,222.51,
229.53,235.87,244.83,235.65,
242.3,241.88,234.7,234.73,
239.46,238.47,237.58,244.63,
250.91,251.15,249.43,255.31,
250.9,259.11,262.09,267.5,
271.65,274.69,275.56,282.78,
292.38,286.11,289.87,288.9,
283.71,278.76,286.33,285.51,
294.41,301.98,308.47,316.19,
315.35,317.25,319.65,311.03,
318.77,312.53,302.55,307.39,
298.01,290.25,285.95,291.39,
294.69,286.46,279.52,282.92,
282.16,279.58,284.36,280.82,
281.62,272.98,273.84,269.93,
271.45,269.99,268.56,276.76,
281.95,288.47,297.11,288.33,
278.69,287.04,282.75,289.74,
279.79,270.45,280.42,282.9,
288.9,298.26,290.47,299.22,
291.06,291.34,297.39,296.99,
296.61,290.46,293.28,295.76,
294.25,285.63,280.41,270.84,
265.46,265.89,269.18,270.55,
262.4,270.17,278.49,273.03,
276.68,285.98,279.99,274.96,
277.85,285.83,287.38,278.83,
287.86,295.47,294.77,301.07,
299.58,299.08,304.86,299.89,
301.93,299.75,299.73,306.15,
301.33,297.69,302.52,302.2,
311.24,317.01,311.02,309.44,
318.43,317.29,325.64,332.24,
326.98,319.1,329.06,321.46,
312.0,304.07,308.95,311.28,
320.76,311.32,303.61,305.02,
313.64,313.38,310.87,314.03,
304.99,311.17,309.87,308.45,
311.29,310.77,307.65,313.14,
314.76,312.1,319.32,316.13,
324.18,328.11,321.28,317.82,
314.81,316.62,317.56,318.85,
323.81,331.63,323.77,318.71,
320.62,315.99,318.18,325.87,
318.78,325.08,319.19,315.88,
321.5,325.85,335.52,336.11,
328.72,330.65,327.69,323.4,
332.71,341.95,335.65,336.22,
344.16,343.72,336.11,330.84,
329.48,334.83,332.56,339.98,
339.94,330.98,325.94,321.98,
327.12,325.26,325.83,324.89,
322.25,320.83,311.32,314.71,
315.01,324.4,320.59,313.91,
316.31,312.32,311.73,312.81,
320.17,319.67,320.92,327.66,
325.41,331.52,328.6,323.88,
322.08,312.47,310.86,301.87,
293.1,295.24,288.3,296.96,
297.34,305.32,302.63,294.61,
290.61,298.28,306.74,313.59,
311.94,312.04,313.77,315.26,
307.97,300.28,297.48,292.1,
293.67,288.01,288.35,285.49,
279.43,280.7,286.62,282.22,
279.89,283.61,284.45,293.53,
298.2,292.76,282.97,280.65,
279.03,276.58,270.56,278.78,
269.15,268.76,261.71,262.84,
255.96,260.41,259.32,255.18,
256.81,266.56,257.48,260.87,
263.19,261.18,257.64,249.92,
243.22,238.08,237.15,236.06,
232.16,233.06,232.29,223.4,
220.98,218.01,211.82,203.09,
198.48,206.65,213.02,222.12,
223.66,219.42,226.02,229.52,
227.37,224.31,232.39,242.23,
244.08,242.78,233.34,228.77,
227.37,234.0,231.81,222.09,
219.28,224.87,219.04,215.03,
210.95,206.57,210.86,214.17,
213.13,204.48,196.67,201.01,
202.35,195.16,193.49,198.54,
197.67,194.0,197.26,194.36,
203.13,208.84,199.76,205.39,
197.26,188.78,194.45,190.31,
193.34,183.43,176.23,168.31,
163.0,159.31,149.83,154.23,
157.39,166.27,157.73,162.97,
167.15,168.65,168.03,168.13,
176.86,178.08,186.85,179.75,
171.78,172.08,165.97,172.37,
166.43,172.19,167.53,174.09,
170.85,179.47,187.66,181.54,
185.45,178.24,172.87,174.38,
168.76,173.06,166.07,167.68,
168.11,159.28,167.49,173.12,
180.56,187.31,184.16,182.97,
179.82,180.11,182.33,189.07,
190.72,191.06,199.75,189.9,
194.62,193.6,194.23,190.37,
193.29,188.26,178.77,174.3,
172.02,164.47,155.34,160.4,
152.64,160.71,162.63,155.84,
156.95,152.68,161.93,164.31,
